title,id,url,viewCount,date,likes,channelName,channelUrl,numberOfSubscribers,duration,days_since_upload,ReachFactor,EngagementEfficiency,VelocityFactor,ViralityScore
Mih interviews special guest Black Omolo (Coffee with Mih Season 2: Ep 3),2w62ypX5lgo,https://www.youtube.com/watch?v=2w62ypX5lgo,240,2/17/23 13:00,10,Sarangetti Music,https://www.youtube.com/@SarangettiMusic,2350,00:10:47,957,5.484796933,0.041666667,0.010449321,0.002388017
"Made In Heaven Season 2 Trailer Reaction, Review, Made In Heaven Release Date",4Cpl2RiuJSo,https://www.youtube.com/watch?v=4Cpl2RiuJSo,177,8/1/23 10:02,8,Movie Shuvie (Positivity Zinda Hai!),https://www.youtube.com/@MovieShuvie,68800,00:02:50,792,5.18178355,0.04519774,0.01010101,0.002365706
"Made In Heaven Season 2 | PREIMERE | Sobhita Dhulipala,Arjun Mathur,Shivani,Kalki,Dia,Shabana,Elnaaz",l4lLzQYCmCM,https://www.youtube.com/watch?v=l4lLzQYCmCM,2660,8/8/23 20:43,25,ACCESS BOLLYWOOD,https://www.youtube.com/@ACCESSBOLLYWOOD,305000,00:39:40,785,7.886457271,0.009398496,0.031847134,0.002360536
Review Made in Heaven Season 2 worth watching on Amazon Prime #review,lFS77_vTwpw,https://www.youtube.com/watch?v=lFS77_vTwpw,414,8/14/23 11:23,11,Jharokha_e_hunar,https://www.youtube.com/@jharokha_e_hunar,2820,00:02:54,779,6.02827852,0.026570048,0.014120668,0.002261731
Made in Heaven Season 2: A Stylish and Thought-Provoking Look at Indian Weddings,7TyWUBwnRC0,https://www.youtube.com/watch?v=7TyWUBwnRC0,58,8/13/23 14:42,5,All Your Choice,https://www.youtube.com/@AllYourChoice2023,5,00:03:05,780,4.077537444,0.086206897,0.006410256,0.002253281
Sobhita Dhulipala arrived for the trailer launch event of Made In Heaven Season 2 #shorts,ZTjzlf-fvZk,https://www.youtube.com/shorts/ZTjzlf-fvZk,507,8/2/23 14:00,12,B4U Paps,https://www.youtube.com/@b4upaps,47200,00:00:32,791,6.230481448,0.023668639,0.01517067,0.002237173
"Radhika Apte Buddhist Wedding Scene | Made In Heaven Season 2 | Radhika Apte, Shashank | Zoya Akhtar",fEFrIKSjRm0,https://www.youtube.com/watch?v=fEFrIKSjRm0,100,8/23/23 17:29,6,Tathagatancha Bhimraya,https://www.youtube.com/@TathagatanchaBhimraya,6,00:02:34,770,4.615120517,0.06,0.007792208,0.002157719
"Made In Heaven S2 Grand Trailer Launch Full Event Uncut | Sobhita Dhulipala, Jim Sarbh, Mona Singh",bRpv06PGRFI,https://www.youtube.com/watch?v=bRpv06PGRFI,1771,8/1/23 14:03,20,Bollyywood Now,https://www.youtube.com/@bollywoodnow,6070000,00:34:49,792,7.479864131,0.011293055,0.025252525,0.002133094
Made In Heaven Season 2 Release Date Announcement Event | Sobhita Dhulipala #shorts,o5D93Ygh5jU,https://www.youtube.com/shorts/o5D93Ygh5jU,934,7/26/23 13:46,15,B4U Paps,https://www.youtube.com/@b4upaps,47200,00:00:26,798,6.840546529,0.016059957,0.018796992,0.002065017
 Trinetra Unveils Her Ethereal Journey in Made In Heaven Season 2 on Amazon Prime ,ksrVZSFxLbU,https://www.youtube.com/watch?v=ksrVZSFxLbU,4926,8/2/23 10:30,30,Newstainment Network,https://www.youtube.com/@NewstainmentNetwork,81600,00:00:52,791,8.502485563,0.006090134,0.037926675,0.001963892
made in heaven season 2-radhika apte as budhhist bride,kTbyXRkCqGs,https://www.youtube.com/watch?v=kTbyXRkCqGs,742,8/22/23 08:56,13,Ankush Wakode,https://www.youtube.com/@ankushwakode7046,3,00:02:02,771,6.610696045,0.017520216,0.016861219,0.00195288
Made In Heaven Season 2 Review | Made In Heaven Season 2 Web Series Review | Sobhita | Amazon Prime,0-nW4Kq7K0g,https://www.youtube.com/watch?v=0-nW4Kq7K0g,270,8/13/23 15:36,8,2BHK - ToBeHonest Kontent,https://www.youtube.com/@tobehonestkontent,1680,00:09:21,780,5.602118821,0.02962963,0.01025641,0.001702448
Made in heaven #madeinheaven #madeinheavenseason2#shorts#primevideo#primeseries#amazonprime #explore,6tBDK2ES3Ig,https://www.youtube.com/shorts/6tBDK2ES3Ig,209,8/28/23 16:31,7,JHANAVI CHADHA,https://www.youtube.com/@jhanavichadha9237,741,00:00:30,765,5.347107531,0.033492823,0.009150327,0.00163873
Made in Heaven Season 2 Final Release Date?|Made in Heaven Season2 Kab Aayaga|Made in Heaven2 Update,CHueKi0ZJE4,https://www.youtube.com/watch?v=CHueKi0ZJE4,3720,8/28/21 10:45,33,SpotLight TV,https://www.youtube.com/@SpotLightTVST,9280,00:02:40,1495,8.221747728,0.008870968,0.022073579,0.001609933
Elnaaz Norouzi Spotted For Made In Heaven Season 2 Promotion,1oSEPnGX3zc,https://www.youtube.com/watch?v=1oSEPnGX3zc,628,8/4/23 11:15,11,Moviez Adda,https://www.youtube.com/@MoviezAdda,1620000,00:02:23,789,6.444131257,0.017515924,0.013941698,0.001573668
Made in Heaven Season 2 Episode 1 x Puneet Gupta | Wedding Trousseau | Indian Wedding Inspiration,d2or9CAmF3U,https://www.youtube.com/watch?v=d2or9CAmF3U,6157,8/22/23 11:49,29,Puneet Gupta Invitations,https://www.youtube.com/@PuneetGuptaInvitations,5800,00:00:22,771,8.725507328,0.004710086,0.037613489,0.001545835
"Made in heaven season 2  Release Date , Cast , Story  | Shobita | Arjun Mathur | jim Sarabh | kalki",MoSdS9Imvec,https://www.youtube.com/watch?v=MoSdS9Imvec,5247,6/29/20 03:34,42,Bollywood Retro,https://www.youtube.com/@bollywoodretro5160,5280,00:03:11,1921,8.565602331,0.008004574,0.021863613,0.001499057
Made in Heaven Season 2 Review Telugu | Made in Heaven Season 2 Telugu Review |,5hpovOf77_4,https://www.youtube.com/watch?v=5hpovOf77_4,884,8/10/23 07:58,12,Santosh Movie Reviews,https://www.youtube.com/@telugumoviereviews762,2450,00:02:52,783,6.785587645,0.013574661,0.01532567,0.001411679
"Made in Heaven season 2, 7th episode",dDRG51afupE,https://www.youtube.com/watch?v=dDRG51afupE,2610,8/22/23 08:41,19,SwAtI VeRmA Monologues,https://www.youtube.com/@swativermamonologues7911,172,00:00:34,771,7.867488569,0.007279693,0.02464332,0.001411395
Made in Heavan Season 2 | Amazon Prime video | Made in Heaven Season 2 Trailer | Made in heaven S2,8HiBFK8_y4Q,https://www.youtube.com/watch?v=8HiBFK8_y4Q,1244,7/26/23 09:34,14,The Film Statics,https://www.youtube.com/@thefilmstatics,25600,00:01:54,798,7.126890809,0.011254019,0.01754386,0.001407126
Sizzling Elnaaz Norouzi Sets Mad Studio Ablaze for Made in Heaven Season 2! ,lQpfzb_dUnA,https://www.youtube.com/shorts/lQpfzb_dUnA,169,8/4/23 16:45,6,TellyMantra,https://www.youtube.com/@Tellymantra_,4900,00:00:31,789,5.135798437,0.035502959,0.007604563,0.001386586
Made In Heaven Season 2 Hot Scenes Timing | Sobhita Dhulipala Bold Moments | Amazon Prime,v-b9XEpL784,https://www.youtube.com/watch?v=v-b9XEpL784,2267,7/31/25 14:17,5,Series Peek,https://www.youtube.com/@SERIESPEEK,333,00:03:08,62,7.726653665,0.002205558,0.080645161,0.001374321
Sobhita Dhulipala and Arjun Mathur official Announcement of MADE IN HEAVEN SEASON 2,GUvefumW-K4,https://www.youtube.com/watch?v=GUvefumW-K4,743,7/26/23 09:34,11,Shudh Manoranjan,https://www.youtube.com/@ShudhManoranjan,1970000,00:13:12,798,6.612041035,0.014804845,0.013784461,0.001349364
Made in Heaven Season 2 Review: Amazon Prime Web Series Returns with a Stunning Season!,JOaIvqD8IWc,https://www.youtube.com/watch?v=JOaIvqD8IWc,4198,8/13/23 01:00,23,Kirti Says,https://www.youtube.com/@KirtiSays,60100,00:24:30,781,8.342601681,0.005478799,0.029449424,0.001346058
Binge Watched Made in Heaven Season 2 | dekho kya kya khaya #amazonprime #whatieatinaday,4JaBQbJ0DHo,https://www.youtube.com/shorts/4JaBQbJ0DHo,182,8/15/23 03:41,6,Shikha Khandelwal,https://www.youtube.com/@ShikhaKhandelwal07,3060,00:00:48,779,5.209486153,0.032967033,0.007702182,0.001322783
Made in Heaven Season 2 - Official Trailer Review | Prime Video India,kLdl9KWdYso,https://www.youtube.com/watch?v=kLdl9KWdYso,1857,8/2/23 04:22,16,Filmi fan,https://www.youtube.com/@Filmi_fan,1310,00:01:49,792,7.527255919,0.008616047,0.02020202,0.001310206
ACTRESS ELNAAZ NOROUZI FOR MADE IN HEAVEN SEASON 2 AT MAD STUDIO,nZi7ehuqE7g,https://www.youtube.com/shorts/nZi7ehuqE7g,266,8/4/23 12:42,7,Filmy Star Maharashtra ,https://www.youtube.com/@filmystarmaharashtra,4500,00:00:15,789,5.587248658,0.026315789,0.00887199,0.001304474
Alankrita Shrivastava and Neeraj Ghaywan Interview for Made in Heaven Season 2 | Lights On,gSbxPmpH7tg,https://www.youtube.com/watch?v=gSbxPmpH7tg,820,8/14/23 14:30,11,Cinema Express,https://www.youtube.com/@CinemaExpressTNIE,234000,00:21:19,779,6.710523109,0.013414634,0.014120668,0.001271131
Made in Heaven Season 2 - Official Trailer | Prime Video India | Made In Heaven S2 Trailer Review,u7w2lx0HtTw,https://www.youtube.com/watch?v=u7w2lx0HtTw,379,8/3/23 18:14,8,2BHK - ToBeHonest Kontent,https://www.youtube.com/@tobehonestkontent,1680,00:04:00,790,5.940171253,0.021108179,0.010126582,0.001269734
Made in Heaven Season 2 Final Release Date?|Made in Heaven Season 2 Release Update|Amazon Prime,yArt-rqUp9g,https://www.youtube.com/watch?v=yArt-rqUp9g,6073,12/10/21 10:52,35,SpotLight TV,https://www.youtube.com/@SpotLightTVST,9280,00:02:49,1391,8.711772646,0.005763214,0.025161754,0.001263317
Made in Heaven Season 2 Final Release Date?|Made in Heaven Season 2 Kab Aayaga|Made in Heaven Update,_1UtDQY4ytg,https://www.youtube.com/watch?v=_1UtDQY4ytg,2897,4/12/21 10:45,27,SpotLight TV,https://www.youtube.com/@SpotLightTVST,9280,00:02:13,1633,7.971776123,0.009319986,0.016533987,0.001228423
Made in Heaven Season 2 Episode 4 | Leila & Sarfaraz | Bollywood Celeb Pulkit Samrat's Wedding,sLRh1zzFbe8,https://www.youtube.com/watch?v=sLRh1zzFbe8,5067,9/25/23 11:33,23,Puneet Gupta Invitations,https://www.youtube.com/@PuneetGuptaInvitations,5800,00:00:28,737,8.530701541,0.004539175,0.031207598,0.001208431
MADE IN HEAVEN SEASON 2 SHOOTING!?|NICE CHRISTMAS MARKET 2021|Marche de Noel|XMAS Lights,GBPRulTvhDA,https://www.youtube.com/watch?v=GBPRulTvhDA,154,1/29/22 15:02,7,The Indo-French Life,https://www.youtube.com/@theindo-frenchlife8935,1020,00:04:09,1341,5.043425117,0.045454545,0.005219985,0.001196664
"Arjun, Jim, Trinetra & Ishwak Interview | Made In Heaven Season 2 | Prime Video | Filme Shilmy",3dCL_YEcPr0,https://www.youtube.com/watch?v=3dCL_YEcPr0,2433,8/12/23 12:39,17,Filme Shilmy,https://www.youtube.com/@filmeshilmy,19700,00:23:23,781,7.797291274,0.006987259,0.021766965,0.001185901
Elnaaz Norouzi On Made In Heaven Season 2 Success | Exclusive Intervoew,cKjM3FPrgjg,https://www.youtube.com/watch?v=cKjM3FPrgjg,1111,8/18/23 18:05,12,Bollywood Spy,https://www.youtube.com/@BollywoodSpy,6250000,00:13:58,775,7.013915475,0.01080108,0.015483871,0.001173025
