id,text,retweetCount,replyCount,likeCount,quoteCount,createdAt,bookmarkCount,isRetweet,isQuote
1895036161334403351,"You can only choose one. 😉😍 https://t.co/vC64N3msrA  

#BlackAndBlueShowmax #Zari #RHONairobi #TheDayOfTheJackal #FightNight #GameOfThrones https://t.co/G147h3rkzD",1,1,0,0,Thu Feb 27 09:00:03 +0000 2025,0,FALSE,FALSE
1894582695302168944,"@Rhonairobiquote #RHONairobi 

Ssup warembo …what a show!! …what a reality show.
Please forgive me as early as this🥹

I am a hyperealist artist with a portrait I just finished. A portrait of one of the greatest freedom fighters ever. He sincerely longlives in us.

Come get it https://t.co/R9hibPWT3D",0,0,0,0,Wed Feb 26 02:58:08 +0000 2025,0,FALSE,FALSE
1893451680424833042,Minne came back to season 2 a whole ass clown 🤡 🤡 🤡 #rhonairobi,0,0,0,0,Sun Feb 23 00:03:53 +0000 2025,0,FALSE,FALSE
1893386068914749940,"Sonal 🤣🤣🤣 lives in her own world
#RHONairobi",0,0,0,0,Sat Feb 22 19:43:10 +0000 2025,0,FALSE,FALSE
1893282222959956137,"Sonal is lowkey an instigator of drama😂😂😂.
Not the person to share things with.
#RHONairobi",0,0,0,0,Sat Feb 22 12:50:32 +0000 2025,0,FALSE,FALSE
1893280431925030921,"Sonal is so calming, and the way she talks 😂😂😂😂.
Thought Vera would be the Diva of the group but Minnie and Susan are the biggest Diva's
#RHONairobi",0,0,0,0,Sat Feb 22 12:43:25 +0000 2025,0,FALSE,FALSE
1893279905393058299,"Started binging on the Real Housewives of Nairobi and lowky love these ladies👌🤭
#RHONairobi",0,0,0,0,Sat Feb 22 12:41:19 +0000 2025,0,FALSE,FALSE
1892530229219844582,Hey. Samantha's bridal roses. Yes we worked with a breeder to come up with a Rose flower that represents the brand Samantha's Bridal. And here we are.....From Kenya with love. We must Build Strong Kenyan brands and export. We are on that Journey......@magicalkenya #rhonairobi. https://t.co/I2EFA7aqP9,1,0,4,0,Thu Feb 20 11:02:22 +0000 2025,0,FALSE,FALSE
1890332282591883312,Xenah from #RHONairobi #ValentinesDay https://t.co/zyYw20dyK3,1,0,8,0,Fri Feb 14 09:28:31 +0000 2025,1,FALSE,FALSE
1890326236204839184,Minne From #RHONairobi #ValentinesDay https://t.co/mUGqfif16S,1,0,12,0,Fri Feb 14 09:04:29 +0000 2025,1,FALSE,FALSE
1888180806813692189,https://t.co/oZVVe0DVnN #rhonairobi,1,0,1,0,Sat Feb 08 10:59:19 +0000 2025,0,FALSE,TRUE
1887414798234656893,Dr. Catherine Masitsa opens up about father’s 5-year battle with prostate cancer https://t.co/T3o6hiIwoH #Drcatherinemasitsa #RHONairobi #RealhousewivesofNairobi https://t.co/pIXwHjGxj1,0,0,1,0,Thu Feb 06 08:15:29 +0000 2025,0,FALSE,FALSE
1887398150240899094,"From settling beef with co-stars to the coffin saga and Minne’s ‘fake life’ claims, Dr. C spills it all! She talks her friendship with Bahati, winning a court case, and being a matchmaker to billionaires. #Drc #RHONairobi https://t.co/Z93XGv6GY4 https://t.co/0xt3w0Ow4m",0,0,0,0,Thu Feb 06 07:09:19 +0000 2025,0,FALSE,FALSE
1885037973978181730,Charles could hardly express himselfu in English enyewe pesa ndio kila kitu #RHONairobi,0,0,1,0,Thu Jan 30 18:50:49 +0000 2025,0,FALSE,FALSE
1881798006003085350,Lmao. Reeja is what these women need this season. 😂🤦🏿‍♀️ #RHONairobi,0,0,0,0,Tue Jan 21 20:16:21 +0000 2025,0,FALSE,FALSE
1881797879842652282,Yho. Minnie is so toxic in this season. She never changes. Jeez.  #RHONairobi,0,0,2,0,Tue Jan 21 20:15:51 +0000 2025,0,FALSE,FALSE
1877632995084976507,Housewives of Nairobi star Xenah Nyambu admits to getting botox https://t.co/Hb0b9J9oiO #Xenahnyambu #RHONairobi https://t.co/q2dg3TsWAc,0,0,0,0,Fri Jan 10 08:26:05 +0000 2025,0,FALSE,FALSE
1877294782642290688,Kila show iko na that one character mwenye huspill the most tea! 🙌 Ni nani ni legendary hapa? 🤔 Tushow kwa comment then stream shows zao on Showmax   🎥🍿 #BlackAndBlueShowmax #RHONairobi #NaiRich   https://t.co/CLji4sZvrJ https://t.co/1cLijvVn6i,1,0,1,1,Thu Jan 09 10:02:09 +0000 2025,0,FALSE,FALSE
1876160346228146216,Having watched the entire season one and two of #RHONairobi I feel Zena is a very rude woman. I wonder if she will be back in season three.,0,0,1,0,Mon Jan 06 06:54:18 +0000 2025,0,FALSE,FALSE
1875973742779891799,"Minne is a very mean girl and fake
Dr C is an instigator of note 
Vera is sweet and no trouble maker
Zena treads carefully
Farah is an epitome of class
The Sudanese girl is very confused and has her emotions all over the place
She craves attention #RHONairobi",0,0,0,0,Sun Jan 05 18:32:48 +0000 2025,0,FALSE,FALSE
1871843365051838502,You can only choose one: nani anakuletea your Christmas dish? 🍽🥂 #RHONairobi https://t.co/pHzrCEqWYV https://t.co/2osVWNLAfS,0,0,0,0,Wed Dec 25 09:00:10 +0000 2024,0,FALSE,FALSE
1871609983961329785,"Your Favorites kwa Santa's naughty list, nani unaona amemiss kwa hii list hapa? 🎅🤭 Tushow then stream hizi shows on Showmax 🎥🍿 #BlackAndBlueShowmax #RHONairobi #KINA https://t.co/oAxKllcpaz https://t.co/vHSDaGuLV8",1,0,2,0,Tue Dec 24 17:32:47 +0000 2024,0,FALSE,FALSE
1869714555430965416,The Real Housewives are taking you around the world this festive season! 🤩 Ni wapi ungependa kuland first between #RHODubai #RHONairobi #RHOMiami #RHODurban #RHOJohannesburg #RHOCapeTown #RHOLagos? 🤭 Drop your answer kisha stream on Showmax 🎥🍿 https://t.co/mXnVxlpHGq https://t.co/VWS5dPtbS4,2,0,0,0,Thu Dec 19 12:01:02 +0000 2024,0,FALSE,FALSE
1867428262760395161,Happy Festive season.#samanthaswines #rhonairobi #drcatherinemasitsa https://t.co/9ic3GqA709,0,0,3,0,Fri Dec 13 04:36:07 +0000 2024,0,FALSE,FALSE
1866839553455071514,"Happy Jamhuri day Kenyans. 
As we celebrate our independence, remember to buy Kenya and build Kenya. Our Forefathers did not fight for freedom just for us to lose it through economic enslavement by 
Donors.  let's build Kenyan brands that can stand on a world stage.  #rhonairobi https://t.co/8KJJQ2lghp",1,0,4,0,Wed Dec 11 13:36:48 +0000 2024,0,FALSE,FALSE
1865050837044576753,When did Season 2 of #RHONairobi come out? I'm already screaming. 😂 Minne wa tena.,0,0,0,0,Fri Dec 06 15:09:05 +0000 2024,0,FALSE,FALSE
1864737214179012809,😭😭😭😭😭 #RHONairobi https://t.co/Aozem4LD3A,0,0,0,0,Thu Dec 05 18:22:51 +0000 2024,0,FALSE,FALSE
